gene	cell_type	weight
Sema4b	0	0.6024811803311494
Ciita	0	0.4795407143118195
Sumo3	0	0.47710008478884947
Rpl9	0	0.44231311283583064
Notch2	0	0.43270332139757944
Inip	0	0.4176157019119097
Serp1	0	0.3730816811622712
Ube2d1	0	0.34564650748736647
Ktn1	0	0.32627273841894805
Ablim1	0	0.31206050109924327
Calcrl	1	0.8602932037896988
Arap2	1	0.48789792427764683
Ctla2a	1	0.4451369077713498
Cd36	1	0.42028358753357703
Egfl7	1	0.3561204325124904
Hpgd	1	0.344414855423518
Ece1	1	0.330103519332224
Tmem100	1	0.3165724419594118
Epas1	1	0.27245601916664547
Id3	1	0.2482944109211375
Bst2	10	0.6066522256565805
Irf8	10	0.48853535818011107
Cst3	10	0.4380719713913728
Siglech	10	0.42623339408152966
H2-DMa	10	0.42316560761904887
Cd74	10	0.24906208530592042
Grk3	10	0.24340872646602682
Crip1	10	0.18136840942494872
Vim	10	0.14250190884688782
Ccr2	10	0.14249850690897958
Il7r	11	0.47977276718452116
S100a4	11	0.4599995732077715
Chd6	11	0.39474347401434046
Hmgb2	11	0.3654689197646854
Lgals1	11	0.35607650637830635
Ikzf2	11	0.31509064805337683
Vsir	11	0.31100118667565474
Arhgdib	11	0.2914133884734389
Cdc42ep3	11	0.28142164808250286
S100a6	11	0.256977813707764
C1qc	12	1.4695767422451804
C1qa	12	0.49115804533454915
Gm9973	12	0.3859635304578691
Fn1	12	0.3444291547578736
Igfbp5	12	0.2371388028314559
Apoe	12	0.19987826581200532
Pf4	12	0.18336661668271903
Gpc3	12	0.17998801608710555
Retnla	12	0.16811290469630116
Sftpc	13	0.1577171397915675
Maf	14	1.1604284794264672
Mmrn1	14	0.5985048182689822
Ccl21a	14	0.4675155965805671
Rnf128	15	1.473114903277739
Gata3	15	0.8597835549766553
Id2	15	0.5431884996876687
Junb	15	0.34483189428475275
Cxcl2	15	0.2802495193443932
Rpl14	15	0.15527466230790143
Gtf2a1	15	0.07015091943056584
Rps8	15	0.06121281079282547
Rps3a1	15	0.051455126494837494
Ccl3	16	0.8196767883732472
Mcpt8	16	0.5151946190577268
Ifitm1	16	0.36226234542457086
Gzmb	16	0.15673606484218708
Jun	16	0.02409319770592081
Cd24a	17	0.7331899184307946
1110017D15Rik	17	0.5643314154913406
Tppp3	17	0.5246015469299554
Igkc	2	0.597191192019029
Cd37	2	0.5751835459371692
Iglc1	2	0.5429606462765761
Fcmr	2	0.4664247594272848
Bank1	2	0.3990849003088973
Ms4a1	2	0.38089503742900654
Rel	2	0.35519642377927574
Trim24	2	0.33819268396230706
H2-Eb1	2	0.3251757257505003
Calm1	2	0.29961409821173135
Tk2	3	0.6798867765491987
Zmynd8	3	0.46989651658749176
Tut7	3	0.35630422670104694
Tmbim1	3	0.3380482823556887
D17H6S53E	3	0.29460867666545515
Naca	3	0.2871978079243422
Emp3	3	0.2867891013401893
Lcp1	3	0.28289769810562004
Mapk1	3	0.27695488082957465
Nsd3	3	0.27466821511493955
Cd8a	4	1.1369897964777014
Ms4a4b	4	0.6963933148385679
Smc4	4	0.589335468860805
Lef1	4	0.5287536615614356
Trbc2	4	0.503185961132445
Psme1	4	0.40235038014382324
Cd3g	4	0.3743630979606242
Olfr1033	4	0.37428341653879504
Trbc1	4	0.34028715078372795
Ltb	4	0.2991845040889107
Chil3	5	1.2257193919000158
Abcg1	5	0.505020610794231
Lpl	5	0.40873874598117094
Fth1	5	0.2366877822629073
Ucp2	5	0.04232741264961676
Gzma	6	0.5946742203678317
Ccl5	6	0.5664462360325202
Bcl2	6	0.5540803303470174
Limd1	6	0.5337928524512181
Klrd1	6	0.5280795848721539
Nkg7	6	0.4963977008889478
Spry2	6	0.49004603249089185
Gimap3	6	0.4281946413942015
Gimap4	6	0.38228203223081497
Ctsw	6	0.36222390932178006
Adgre4	7	1.082965486485862
Clec4a3	7	0.4970325820000765
Gm2a	7	0.48591165745435877
Gm21188	7	0.4087083502684749
Plac8	7	0.4085684617689966
Lyz2	7	0.35732460091995544
Gngt2	7	0.342132134511679
Pou2f2	7	0.3290744064596621
Lgals3	7	0.3029903882799983
Laptm5	7	0.23367634018010092
Gsn	8	1.0179373268759313
Inmt	8	0.836610914893401
Ccn1	8	0.5304042992033153
Mgp	8	0.5032665289039269
Egr1	8	0.21322385962758839
Dcn	8	0.15451998659944577
Gpx3	8	0.1300173396689509
Rbp1	8	0.07234627926876305
Rps21	8	0.05913484699890921
Aimp1	8	0.05792588141939821
Il1b	9	0.8967663866047898
S100a9	9	0.25631610931496973
S100a8	9	0.17147723802287726
Stk17b	9	0.06892411382815722
