gene	cell_type	weight
C6orf48	0	0.3533491423490244
LIMD2	0	0.3110942972347376
RPL37A	0	0.24131928436085984
HCST	0	0.20563787332109557
PDCD2L	0	0.1872055236144309
EEF1A1	0	0.1569090606329175
LEPROTL1	0	0.1318211873785525
RPL11	0	0.12814187959343895
RPL32	0	0.12735689060325034
ALDOA	0	0.12249356156061914
IL32	1	0.4791475354204978
USP15	1	0.3453007266660611
PSMB9	1	0.321930293411914
JUN	1	0.3082100087256206
VIM	1	0.29001493695323494
TSC22D3	1	0.28211488952857294
RBM7	1	0.2747505652796912
AIM2	1	0.2575888376501612
ISG15	1	0.21999374365376204
C16orf13	1	0.20014834968057166
LGALS2	2	0.5234921093501866
S100A8	2	0.3246053876526535
CD52	2	0.1753979844182048
DUSP1	2	0.15749742534780986
ENY2	2	0.1252626508566933
SNRNP35	2	0.12471891840381563
MT-ND1	2	0.12029798632703878
LYZ	2	0.11452893531313053
FCN1	2	0.10742510007808807
TNFRSF1A	2	0.0932686247829632
CD74	3	0.3201085857056968
CD79A	3	0.24679164262037984
HLA-DRA	3	0.18037104178455268
CYBA	3	0.10305621226329469
RPL35	3	0.0714384711585858
EEF1B2	3	0.06612740662702851
RPL10A	3	0.05681943976785189
RPL18A	3	0.04802161869742579
MT-CO1	3	0.048000093280071814
PWP1	3	0.04678181391773095
CCL5	4	0.9010910341050623
GZMK	4	0.8418623884970047
GZMH	4	0.3327007641685354
GAPDH	4	0.12219120693842803
CST7	4	0.10394722900650834
TMA7	4	0.10220981604414725
GZMA	4	0.09847698730295655
CPNE5	4	0.09761799853575133
IFI44	4	0.09525993873460407
MT-ND2	4	0.08891725371324945
PRF1	5	0.41859640812925136
GZMB	5	0.22111377273041335
GNLY	5	0.22032075252735953
NKG7	5	0.11999664402303718
EIF1	5	0.09200194156413458
CTSW	5	0.05083165689801222
SRSF3	5	0.04931615655892157
PCMT1	5	0.03327245718336854
TMX2	5	0.030958576411078197
RPS6	5	0.03012928428706164
FCGR3A	6	0.28509025800932614
IFITM2	6	0.2550872111855094
LST1	6	0.18353575589013854
CTSS	6	0.15248789807861354
AIF1	6	0.14550439770397172
NOSIP	6	0.09441528023339148
MT-CO2	6	0.09406776571385689
S100A11	6	0.07833074074455797
RPS19	6	0.07439472291531507
SAT1	6	0.04459328435634101
CST3	7	0.2802399953518836
FCER1A	7	0.16004166968471056
HLA-DRB1	7	0.13142607119789027
HLA-DQA1	7	0.12657724441730656
LGALS1	7	0.10748980191937178
ZNF330	7	0.0821980288639953
MT-ND6	7	0.06962936161363009
HLA-DPA1	7	0.060448322536405585
RPS14	7	0.02694397205606498
HLA-DPB1	7	0.02353984505821655
HIST1H2AC	8	0.17435673097184537
PPBP	8	0.12319711886001974
