gene	cell_type	weight
Igkc	0	1.1847458604005954
Cd79a	0	0.8441402948997178
Ighm	0	0.4460739741722328
Sncaip	0	0.36907962553146917
Cd74	0	0.35474515386822814
Ebf1	0	0.31971914354867736
Pgap1	0	0.3165575901204845
Swap70	0	0.29663264409628426
Ikzf3	0	0.2837512373898915
Iglc2	0	0.2706575741919459
Glp1r	1	0.41049620570737533
Cd36	1	0.35748227810195476
Plk2	1	0.3436922094209548
Calcrl	1	0.32245902186303377
Tek	1	0.3054424357612626
Phldb2	1	0.23845860830906285
Ddah2	1	0.22070473029908635
Grrp1	1	0.21664508686835732
Ephb4	1	0.20952191789913535
Bmpr2	1	0.20603873752329968
Cst3	10	0.4185977924500001
Siglech	10	0.4008505147949375
Cd209a	10	0.28145083554763256
Irf8	10	0.2745987715363354
Ccr2	10	0.24684985175966673
Nxn	10	0.24209132995572283
Actb	10	0.2241107980537886
Crip1	10	0.22188152157082416
Mettl15	10	0.22052723958312923
Fxyd2	10	0.2035290897848099
Ccl5	11	0.659297511864072
Cd160	11	0.29966376188652755
Gzmm	11	0.2693671129448313
Xcl1	11	0.24050352263844513
Serpina3g	11	0.2157977596637556
Gimap4	11	0.2089263732762511
Id2	11	0.20570679678521445
Thsd7b	11	0.15333128329578047
Fam189b	11	0.15128920427283618
Cd28	11	0.1504051314674701
Lgals1	12	0.37473935363862604
Actg1	12	0.3090059000713141
S100a4	12	0.3064584012692294
Pxdc1	12	0.29340397619027514
Ikzf2	12	0.2243428885077545
Tcrg-C2	12	0.18990117796413722
Maf	12	0.18694213315116093
Zbtb16	12	0.18565820631461882
Icos	12	0.182058396000319
Trac	12	0.17343196774949246
C1qa	13	0.45543480215188475
C1qc	13	0.41623430781874027
Pf4	13	0.23294233586527646
St8sia6	13	0.15052982038344137
Fastkd1	13	0.13365018819296037
C1qb	13	0.10066678289379666
Ptafr	13	0.06291829664739858
Klrk1	13	0.062304490424644365
Gtpbp6	13	0.05832418645336597
Retnla	13	0.050377454861877315
Sfta2	14	0.24821562741789366
Sftpb	14	0.2361875939670827
