gene	cell_type	weight
MALAT1	0	0.7209172192662157
RPS3A	0	0.45835735234393504
CCR7	0	0.36869658350845014
RBM48	0	0.2692113926491081
LEPROTL1	0	0.22411429681791198
RPL9	0	0.21782767257311758
GLTSCR2	0	0.20235961442366843
RPS6	0	0.1929891032145229
EIF3H	0	0.17286288112777212
C6orf48	0	0.17075241651699316
IL32	1	0.6046822961487301
ALOX5AP	1	0.46885912319053463
LTB	1	0.4230886258710731
JUN	1	0.40027720038659237
TNFRSF4	1	0.35783680267732954
B2M	1	0.34366403077549385
RBPJ	1	0.2985545103470511
SPSB2	1	0.28172108903334636
CD40LG	1	0.2752312419759241
VIM	1	0.2733004591773803
LYZ	2	0.4716270051419692
S100A8	2	0.4230943182632389
FTL	2	0.3825875885947554
LGALS2	2	0.34992050979590616
NPC2	2	0.2768700262214592
TNFRSF1A	2	0.1653317617999969
CD63	2	0.15090605219334186
LGALS3	2	0.14581809303545853
S100A9	2	0.12282210558542807
TYROBP	2	0.09385539719261565
CD79A	3	0.6968884270837341
CD79B	3	0.46295108018101955
MS4A1	3	0.39036338068454285
CD74	3	0.3492241796283308
TCL1A	3	0.24475217860208098
ITM2C	3	0.217576767931005
PNOC	3	0.21565770819501026
LINC00926	3	0.15731144939541966
HLA-DRA	3	0.15727658902566094
GNG7	3	0.12903894527653842
CCL5	4	0.9935584954149339
GZMK	4	0.36357434451662896
NKG7	4	0.3623935962556304
KIAA0101	4	0.3422107770764778
GZMH	4	0.3270087875036987
SRRM1	4	0.238066209351586
CD3D	4	0.21173121266782766
GPRC5C	4	0.2068338802155002
SNRPB	4	0.20350029865795163
BIRC5	4	0.19872668309377967
PRF1	5	0.4134219399893605
GNLY	5	0.4130139086459021
CD247	5	0.23191316455378702
GZMB	5	0.22004221170838537
CTSW	5	0.1994649723141766
CLIC3	5	0.17112789656193542
SH2D1B	5	0.1370227338902097
IL2RB	5	0.13091250587724348
SPON2	5	0.12759886837222115
XCL2	5	0.1143852035240126
LST1	6	0.4222042362694882
IFITM2	6	0.4020818088702544
MS4A7	6	0.3224371744872744
TIMP1	6	0.27469039235100107
FCGR3A	6	0.25967005805776977
CDKN1C	6	0.2282569586901934
AIF1	6	0.20156802231146312
RP11-290F20.3	6	0.15534649876491896
MT-CO2	6	0.11988947556235374
S100A11	6	0.06797233569280908
FCER1A	7	0.371501088013004
CST3	7	0.19543154011042319
CLEC10A	7	0.18567628768439357
HLA-DQA1	7	0.1512276551096483
SURF6	7	0.1169140386748095
HLA-DPA1	7	0.10572405691207643
HLA-DQB1	7	0.07442308875634332
SERPINF1	7	0.04082033439155553
HLA-DPB1	7	0.026132986987014974
B4GALT4	7	0.0136234000143622
SPARC	8	0.20235025427545061
TUBB1	8	0.19560210277102108
GNG11	8	0.16953339623493321
CD9	8	0.09972424664324786
SDPR	8	0.07846805685774397
TPM4	8	0.06665613898906514
PPBP	8	0.06401611354386398
HIST1H2AC	8	0.06147031680845188
RGS18	8	0.04227937356253771
PF4	8	0.03133592436550419
